Countrycode;Namespace;AirQualityNetwork;AirQualityStation;AirQualityStationEoICode;SamplingPoint;SamplingProcess;Sample;AirPollutant;AirPollutantCode;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3330000000;µg/m3;2022-03-15 21:00:00 +01:00;2022-03-15 22:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.0253300000;µg/m3;2022-03-15 22:00:00 +01:00;2022-03-15 23:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3491700000;µg/m3;2022-03-15 23:00:00 +01:00;2022-03-16 00:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.0276700000;µg/m3;2022-03-16 00:00:00 +01:00;2022-03-16 01:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.7736660000;µg/m3;2022-03-16 01:00:00 +01:00;2022-03-16 02:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.7740000000;µg/m3;2022-03-16 02:00:00 +01:00;2022-03-16 03:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6561670000;µg/m3;2022-03-16 03:00:00 +01:00;2022-03-16 04:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6566670000;µg/m3;2022-03-16 04:00:00 +01:00;2022-03-16 05:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6966670000;µg/m3;2022-03-16 05:00:00 +01:00;2022-03-16 06:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.9486680000;µg/m3;2022-03-16 06:00:00 +01:00;2022-03-16 07:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3756700000;µg/m3;2022-03-16 07:00:00 +01:00;2022-03-16 08:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1163300000;µg/m3;2022-03-16 08:00:00 +01:00;2022-03-16 09:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.1910000000;µg/m3;2022-03-16 09:00:00 +01:00;2022-03-16 10:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.5466700000;µg/m3;2022-03-16 10:00:00 +01:00;2022-03-16 11:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.1453400000;µg/m3;2022-03-16 11:00:00 +01:00;2022-03-16 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.9923330000;µg/m3;2022-03-15 11:00:00 +01:00;2022-03-15 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.9125000000;µg/m3;2022-03-15 12:00:00 +01:00;2022-03-15 13:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.5395000000;µg/m3;2022-03-15 13:00:00 +01:00;2022-03-15 14:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.8501700000;µg/m3;2022-03-15 14:00:00 +01:00;2022-03-15 15:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1765000000;µg/m3;2022-03-15 15:00:00 +01:00;2022-03-15 16:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6648300000;µg/m3;2022-03-15 16:00:00 +01:00;2022-03-15 17:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6193300000;µg/m3;2022-03-15 17:00:00 +01:00;2022-03-15 18:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.3751700000;µg/m3;2022-03-15 18:00:00 +01:00;2022-03-15 19:00:00 +01:00;1;3;;;;;;;
